1 17 34.01°C 4.9V 21:05:39 73.39% 21:07:19
1 18 Payload is IDLE 21:05:39 21:07:19
1 19 24.64°C 5.01V 21:05:40 97.05% 21:07:19
1 20 Payload is IDLE 21:05:40 21:07:19
1 21 10.58°C 5.0V 21:05:41 55.46% 21:07:19
1 22 Payload is IDLE 21:05:41 21:07:19
1 23 41.92°C 4.89V 21:05:42 55.44% 21:07:19
1 24 Payload is IDLE 21:05:42 21:07:19
1 25 26.85°C 4.92V 21:05:43 65.79% 21:07:19
1 26 Payload is IDLE 21:05:43 21:07:19
1 27 38.66°C 5.04V 21:05:44 50.64% 21:07:19
1 28 Payload is IDLE 21:05:44 21:07:19
1 29 9.12°C 5.04V 21:05:45 88.99% 21:07:19
1 30 Payload is IDLE 21:05:45 21:07:19
1 31 25.52°C 5.06V 21:05:46 86.75% 21:07:19
1 32 Payload is IDLE 21:05:46 21:07:19
1 33 28.58°C 4.81V 21:05:47 79.73% 21:07:19
1 34 Payload is IDLE 21:05:47 21:07:19
1 35 26.69°C 4.81V 21:05:48 87.2% 21:07:19
1 36 Payload is IDLE 21:05:48 21:07:19
1 1 41.45°C 5.05V 21:07:28 51.56% 21:07:28
1 2 Payload is IDLE 21:07:28 21:07:28
1 3 12.59°C 4.91V 21:07:29 84.97% 21:07:29
1 4 Payload is IDLE 21:07:29 21:07:29
1 5 22.68°C 5.04V 21:07:30 81.05% 21:07:30
1 6 Payload is IDLE 21:07:30 21:07:30
1 7 22.74°C 4.98V 21:07:31 52.02% 21:07:31
1 8 Payload is IDLE 21:07:31 21:07:31
1 9 28.66°C 4.82V 21:07:32 90.61% 21:07:32
1 10 Payload is IDLE 21:07:32 21:07:32
1 11 37.16°C 4.89V 21:07:33 53.11% 21:07:33
1 12 Payload is IDLE 21:07:33 21:07:33
1 13 18.01°C 5.07V 21:07:34 63.99% 21:07:34
1 14 Payload is IDLE 21:07:34 21:07:34
1 15 20.41°C 4.82V 21:07:35 93.35% 21:07:35
1 16 Payload is IDLE 21:07:35 21:07:35
1 17 23.23°C 5.01V 21:07:36 63.27% 21:07:36
1 18 Payload is IDLE 21:07:36 21:07:36
1 19 31.64°C 4.96V 21:07:37 73.76% 21:07:37
1 20 Payload is IDLE 21:07:37 21:07:37
1 21 15.95°C 4.97V 21:07:38 91.01% 21:07:38
1 22 Payload is IDLE 21:07:38 21:07:38
1 23 18.7°C 5.04V 21:07:39 77.19% 21:07:39
1 24 Payload is IDLE 21:07:39 21:07:39
1 25 13.54°C 4.88V 21:07:40 89.67% 21:07:40
1 26 Payload is IDLE 21:07:40 21:07:40
1 27 14.41°C 4.91V 21:07:41 74.21% 21:07:41
1 28 Payload is IDLE 21:07:41 21:07:41
1 29 33.36°C 5.05V 21:07:42 73.09% 21:07:42
1 30 Payload is IDLE 21:07:42 21:07:42
1 31 9.02°C 4.85V 21:07:43 57.69% 21:07:43
1 32 Payload is IDLE 21:07:43 21:07:43
1 33 15.89°C 5.0V 21:07:44 66.41% 21:07:44
1 34 Payload is IDLE 21:07:44 21:07:44
1 35 33.03°C 4.85V 21:07:45 86.17% 21:07:45
1 36 Payload is IDLE 21:07:45 21:07:45
1 37 9.36°C 5.05V 21:07:46 52.23% 21:07:46
1 38 Payload is IDLE 21:07:46 21:07:46
1 39 20.78°C 5.07V 21:07:47 91.05% 21:07:48
1 40 Payload is IDLE 21:07:47 21:07:48
1 41 38.32°C 5.07V 21:07:48 84.55% 21:07:49
1 42 Payload is IDLE 21:07:48 21:07:49
1 43 10.0°C 5.04V 21:07:49 94.98% 21:07:50
1 44 Payload is IDLE 21:07:49 21:07:50
1 45 9.0°C 4.87V 21:07:50 52.08% 21:07:51
1 46 Payload is IDLE 21:07:50 21:07:51
1 47 30.78°C 4.8V 21:07:51 98.68% 21:07:52
1 48 Payload is IDLE 21:07:51 21:07:52
1 49 27.07°C 4.93V 21:07:52 91.19% 21:07:53
1 50 Payload is IDLE 21:07:52 21:07:53
1 51 27.45°C 5.0V 21:07:53 61.37% 21:07:54
1 52 Payload is IDLE 21:07:53 21:07:54
1 53 12.38°C 5.09V 21:07:54 55.82% 21:07:55
1 54 Payload is IDLE 21:07:54 21:07:55
1 55 41.27°C 4.82V 21:07:55 85.61% 21:07:56
1 56 Payload is IDLE 21:07:55 21:07:56
1 57 32.49°C 4.96V 21:07:56 58.85% 21:07:57
1 58 Payload is IDLE 21:07:56 21:07:57
1 59 25.96°C 5.02V 21:07:57 52.81% 21:07:58
1 60 Payload is IDLE 21:07:57 21:07:58
1 61 36.22°C 4.86V 21:07:58 78.73% 21:07:59
1 62 Payload is IDLE 21:07:58 21:07:59
1 63 41.48°C 5.1V 21:07:59 61.98% 21:08:00
1 64 Payload is IDLE 21:07:59 21:08:00
1 65 20.03°C 5.03V 21:08:00 93.37% 21:08:01
1 66 Payload is IDLE 21:08:00 21:08:01
1 67 9.15°C 5.05V 21:08:01 69.22% 21:08:02
1 68 Payload is IDLE 21:08:01 21:08:02
1 69 30.16°C 5.01V 21:08:02 65.63% 21:08:03
1 70 Payload is IDLE 21:08:02 21:08:03
1 71 32.88°C 5.05V 21:08:03 60.64% 21:08:04
1 72 Payload is IDLE 21:08:03 21:08:04
1 73 15.63°C 4.87V 21:08:04 62.74% 21:08:05
1 74 Payload is IDLE 21:08:04 21:08:05
1 75 25.86°C 4.81V 21:08:05 90.68% 21:08:06
1 76 Payload is IDLE 21:08:05 21:08:06
1 77 9.77°C 5.02V 21:08:06 59.14% 21:08:07
1 78 Payload is IDLE 21:08:06 21:08:07
1 79 39.06°C 4.92V 21:08:07 75.11% 21:08:08
1 80 Payload is IDLE 21:08:07 21:08:08
1 81 29.6°C 4.89V 21:08:08 55.09% 21:08:09
1 82 Payload is IDLE 21:08:08 21:08:09
1 83 15.89°C 4.87V 21:08:09 79.75% 21:08:09
1 84 Payload is IDLE 21:08:09 21:08:09
1 85 36.6°C 4.97V 21:08:10 69.61% 21:08:10
1 86 Payload is IDLE 21:08:10 21:08:10
1 87 26.97°C 5.03V 21:08:11 91.62% 21:08:11
1 88 Payload is IDLE 21:08:11 21:08:11
1 89 29.0°C 4.99V 21:08:12 80.39% 21:08:12
1 90 Payload is IDLE 21:08:12 21:08:12
1 91 41.66°C 4.91V 21:08:13 54.14% 21:08:13
1 92 Payload is IDLE 21:08:13 21:08:13
1 93 26.93°C 4.83V 21:08:14 61.41% 21:08:14
1 94 Payload is IDLE 21:08:14 21:08:14
1 95 22.96°C 4.82V 21:08:15 63.17% 21:08:15
1 96 Payload is IDLE 21:08:15 21:08:15
1 97 27.13°C 4.98V 21:08:16 52.11% 21:08:16
1 98 Payload is IDLE 21:08:16 21:08:16
1 99 27.23°C 4.87V 21:08:17 74.9% 21:08:17
1 100 Payload is IDLE 21:08:17 21:08:17
1 101 30.47°C 4.98V 21:08:18 63.13% 21:08:18
1 102 Payload is IDLE 21:08:18 21:08:18
1 103 21.84°C 4.87V 21:08:19 82.92% 21:08:19
1 104 Payload is IDLE 21:08:19 21:08:19
1 105 39.41°C 4.89V 21:08:20 99.03% 21:08:20
1 106 Payload is IDLE 21:08:20 21:08:20
1 107 24.49°C 4.89V 21:08:21 80.32% 21:08:21
1 108 Payload is IDLE 21:08:21 21:08:21
1 109 40.87°C 5.04V 21:08:22 70.97% 21:08:22
1 110 Payload is IDLE 21:08:22 21:08:22
1 111 41.79°C 5.06V 21:08:23 56.03% 21:08:23
1 112 Payload is IDLE 21:08:23 21:08:23
1 113 35.1°C 5.09V 21:08:24 52.94% 21:08:24
1 114 Payload is IDLE 21:08:24 21:08:24
1 115 14.35°C 4.93V 21:08:25 69.33% 21:08:25
1 116 Payload is IDLE 21:08:25 21:08:25
1 117 15.46°C 5.06V 21:08:26 78.1% 21:08:26
1 118 Payload is IDLE 21:08:26 21:08:26
1 119 20.23°C 4.85V 21:08:27 94.97% 21:08:27
1 120 Payload is IDLE 21:08:27 21:08:27
1 121 23.89°C 5.05V 21:08:28 71.41% 21:08:29
1 122 Payload is IDLE 21:08:28 21:08:29
1 123 26.53°C 5.09V 21:08:29 98.9% 21:08:30
1 124 Payload is IDLE 21:08:29 21:08:30
1 125 26.97°C 4.89V 21:08:30 66.34% 21:08:31
1 126 Payload is IDLE 21:08:30 21:08:31
1 127 29.7°C 4.82V 21:08:31 69.36% 21:08:32
1 128 Payload is IDLE 21:08:31 21:08:32
1 129 16.75°C 4.91V 21:08:32 80.23% 21:08:33
1 130 Payload is IDLE 21:08:32 21:08:33
1 131 27.95°C 4.9V 21:08:33 51.88% 21:08:34
1 132 Payload is IDLE 21:08:33 21:08:34
1 133 10.53°C 4.99V 21:08:34 73.58% 21:08:35
1 134 Payload is IDLE 21:08:34 21:08:35
1 135 36.44°C 4.87V 21:08:35 62.87% 21:08:36
1 136 Payload is IDLE 21:08:35 21:08:36
1 137 35.92°C 5.09V 21:08:36 99.02% 21:08:37
1 138 Payload is IDLE 21:08:36 21:08:37
1 139 21.26°C 4.86V 21:08:37 98.7% 21:08:38
1 140 Payload is IDLE 21:08:37 21:08:38
1 141 37.65°C 5.06V 21:08:38 56.13% 21:08:39
1 142 Payload is IDLE 21:08:38 21:08:39
1 143 34.15°C 4.8V 21:08:39 78.52% 21:08:40
1 144 Payload is IDLE 21:08:39 21:08:40
1 145 26.31°C 4.84V 21:08:40 57.09% 21:08:41
1 146 Payload is IDLE 21:08:40 21:08:41
1 147 13.82°C 5.0V 21:08:41 91.53% 21:08:42
1 148 Payload is IDLE 21:08:41 21:08:42
1 149 11.15°C 4.97V 21:08:42 74.05% 21:08:43
1 150 Payload is IDLE 21:08:42 21:08:43
1 151 27.27°C 5.09V 21:08:43 51.13% 21:08:44
1 152 Payload is IDLE 21:08:43 21:08:44
1 153 38.11°C 4.83V 21:08:44 65.27% 21:08:45
1 154 Payload is IDLE 21:08:44 21:08:45
1 155 26.97°C 5.02V 21:08:45 98.89% 21:08:46
1 156 Payload is IDLE 21:08:45 21:08:46
1 157 40.23°C 5.05V 21:08:46 60.06% 21:08:47
1 158 Payload is IDLE 21:08:46 21:08:47
1 159 37.57°C 4.83V 21:08:47 53.21% 21:08:48
1 160 Payload is IDLE 21:08:47 21:08:48
1 161 39.03°C 4.88V 21:08:48 88.92% 21:08:49
1 162 Payload is IDLE 21:08:48 21:08:49
1 163 15.29°C 4.96V 21:08:49 98.76% 21:08:50
1 164 Payload is IDLE 21:08:49 21:08:50
1 165 32.09°C 4.95V 21:08:50 74.43% 21:08:51
